mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2782674,399000.0,1.0,1.0,"11601 227St, Maple Ridge, BC, Canada",777.0,1.0,1677.0,526.0,1992.0,Condo,03/07/2023,2023-05-28,408900.0,,,
R2793835,1365000.0,4.0,1.0,"23491 132 Ave, Maple Ridge, BC, Canada",1707.0,0.0,5938.0,849.0,1971.0,SingleFamily,03/07/2023,2023-06-29,1450000.0,49.2422678,-122.6550212,"132 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 2N1, Canada"
R2792514,1553500.0,4.0,2.0,"12437 Skillen St, Maple Ridge, BC, Canada",2324.0,4.0,5292.0,679.0,1976.0,SingleFamily,03/07/2023,2023-06-25,1578000.0,49.2278198,-122.6441169,"Skillen Street, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 2N1, Canada"
R2790442,690000.0,3.0,1.0,"12227 Skillen St, Maple Ridge, BC, Canada",1265.0,2.0,3561.0,552.0,1983.0,Townhouse,02/07/2023,2023-06-21,699000.0,49.2278198,-122.6441169,"Skillen Street, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 2N1, Canada"
R2786625,1285000.0,5.0,2.0,"20629 Tyner Ave, Maple Ridge, BC, Canada",2246.0,6.0,5138.0,582.0,1969.0,SingleFamily,02/07/2023,2023-06-06,1308000.0,49.2250914,-122.6490153,"Tyner Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 1X7, Canada"
R2789800,437000.0,1.0,1.0,"106 22290 North Ave, Maple Ridge, BC, Canada",756.0,1.0,1982.0,593.0,2009.0,Condo,02/07/2023,2023-06-18,449000.0,49.2159767,-122.6001681,"North Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2V1, Canada"
R2789772,845000.0,3.0,2.0,"24076 112 Ave, Maple Ridge, BC, Canada",1455.0,2.0,3009.0,584.0,2019.0,Townhouse,01/07/2023,2023-06-15,850000.0,49.2056273,-122.4436042,"112 Avenue, Ruskin, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 1M1, Canada"
R2785687,1170000.0,6.0,3.0,"10321 244St, Maple Ridge, BC, Canada",3042.0,2.0,5383.0,394.0,2004.0,SingleFamily,30/06/2023,2023-06-05,1199000.0,,,
R2791078,1500000.0,4.0,3.0,"23873 114a Ave, Maple Ridge, BC, Canada",3150.0,6.0,6168.0,485.0,1997.0,SingleFamily,30/06/2023,2023-06-19,1529000.0,49.2100312,-122.5668669,"114A Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3L8, Canada"
R2787313,780000.0,4.0,2.0,"23085 118 Ave, Maple Ridge, BC, Canada",1720.0,2.0,3071.0,459.0,1996.0,Townhouse,30/06/2023,2023-06-11,790000.0,49.21671,-122.5753517,"118 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3L8, Canada"
R2739255,1616000.0,4.0,1.0,"11330 272St, Maple Ridge, BC, Canada",2990.0,11.0,6318.0,598.0,1971.0,SingleFamily,30/06/2023,2022-11-17,1788888.0,,,
R2780381,515000.0,2.0,1.0,"22720 119 Ave, Maple Ridge, BC, Canada",1118.0,1.0,2048.0,464.0,1994.0,Condo,29/06/2023,2023-05-22,519300.0,49.218578,-122.6032069,"119 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3C2, Canada"
R2788412,475000.0,2.0,1.0,"12207 224St, Maple Ridge, BC, Canada",758.0,1.0,1967.0,646.0,2000.0,Condo,29/06/2023,2023-06-13,489900.0,,,
R2783662,510000.0,2.0,2.0,"11601 227St, Maple Ridge, BC, Canada",1119.0,1.0,2078.0,464.0,1993.0,Condo,29/06/2023,2023-05-31,519900.0,,,
R2782290,1670000.0,5.0,3.0,"23953 111a Ave, Maple Ridge, BC, Canada",3576.0,4.0,6541.0,475.0,2015.0,SingleFamily,28/06/2023,2023-05-28,1699900.0,49.2050519,-122.5579128,"111A Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 1B8, Canada"
R2746566,1085000.0,4.0,1.0,"11764 Burnett St, Maple Ridge, BC, Canada",1259.0,3.0,4322.0,952.0,1946.0,SingleFamily,28/06/2023,2023-01-15,1199000.0,49.2199948,-122.5883472,"Burnett Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3V0, Canada"
R2790636,1358000.0,5.0,2.0,"12497 223St, Maple Ridge, BC, Canada",2556.0,10.0,5650.0,508.0,1970.0,SingleFamily,28/06/2023,2023-06-19,1299000.0,,,
R2779910,1087500.0,3.0,1.0,"12067 Glenhurst St, Maple Ridge, BC, Canada",1518.0,5.0,5463.0,789.0,1988.0,SingleFamily,28/06/2023,2023-05-22,1199000.0,49.2151373,-122.5755224,"Glenhurst Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3L8, Canada"
R2787188,919900.0,4.0,3.0,"11720 Cottonwood Dr, Maple Ridge, BC, Canada",2350.0,4.0,3554.0,391.0,2007.0,Townhouse,28/06/2023,2023-06-11,919900.0,49.2110468,-122.577094,"Cottonwood Drive, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 1C1, Canada"
R2789731,1180000.0,4.0,3.0,"10166 244St, Maple Ridge, BC, Canada",2406.0,3.0,5258.0,494.0,2016.0,SingleFamily,28/06/2023,2023-06-18,1189000.0,,,
R2786205,600000.0,4.0,1.0,"11771 Darby St, Maple Ridge, BC, Canada",2190.0,2.0,3435.0,308.0,1969.0,Townhouse,28/06/2023,2023-06-06,675000.0,49.2156291,-122.6263049,"Darby Street, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2S1, Canada"
R2789320,1690000.0,4.0,1.0,"11772 252St, Maple Ridge, BC, Canada",1822.0,0.0,932.0,982.0,1940.0,SingleFamily,28/06/2023,2023-06-15,1790000.0,,,
R2786803,405000.0,2.0,1.0,"22661 Lougheed Highway, Maple Ridge, BC, Canada",909.0,1.0,1818.0,439.0,1989.0,Condo,28/06/2023,2023-06-07,399900.0,49.1810072,-122.5482422,"Lougheed Highway, Albion, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 1G2, Canada"
