mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2859168,962000.0,3.0,2.0,"19451 Sutton Ave, Pitt Meadows, BC, Canada",1413.0,2.0,4323.0,690.0,2019.0,Townhouse,16/03/2024,2024-03-11,975000.0,49.2059796,-122.6814881,"Sutton Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 0B9, Canada"
R2858610,1655000.0,5.0,3.0,"18832 Charnley Crt, Pitt Meadows, BC, Canada",3268.0,6.0,5548.0,514.0,1990.0,SingleFamily,14/03/2024,2024-03-11,1680000.0,49.223224,-122.6996132,"Charnley Court, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
R2850204,552000.0,1.0,1.0,"12155 191b St, Pitt Meadows, BC, Canada",926.0,2.0,2346.0,593.0,1997.0,Condo,12/03/2024,2024-02-14,550000.0,49.2237903,-122.6908249,"191B Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B6, Canada"
R2854573,690000.0,2.0,2.0,"19122 122 Ave, Pitt Meadows, BC, Canada",1166.0,2.0,2760.0,599.0,1993.0,Condo,10/03/2024,2024-03-03,699000.0,49.2243541,-122.6935739,"122 Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2E9, Canada"
R2856132,1360000.0,3.0,2.0,"19762 Wildwood Cres N, Pitt Meadows, BC, Canada",2270.0,4.0,5850.0,610.0,1976.0,SingleFamily,10/03/2024,2024-03-04,1385000.0,49.2145045,-122.6721546,"Wildwood Crescent North, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2S3, Canada"
R2847824,1400000.0,3.0,2.0,"19227 Fieldstone Walk, Pitt Meadows, BC, Canada",2602.0,4.0,5658.0,549.0,2004.0,SingleFamily,10/03/2024,2024-02-06,1429999.0,49.2128713,-122.6874272,"Fieldstone Walk, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1G1, Canada"
R2854504,1250000.0,3.0,2.0,"11820 191a St, Pitt Meadows, BC, Canada",2267.0,3.0,4910.0,594.0,2006.0,SingleFamily,09/03/2024,2024-02-28,1348000.0,49.217136,-122.6914472,"191A Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
R2843322,1590000.0,3.0,2.0,"19694 Blaney Dr, Pitt Meadows, BC, Canada",2679.0,4.0,5796.0,597.0,2004.0,SingleFamily,08/03/2024,2024-01-21,1599800.0,49.2077525,-122.6756411,"Blaney Drive, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2S3, Canada"
R2854297,1285000.0,5.0,3.0,"12431 188a St, Pitt Meadows, BC, Canada",2453.0,4.0,5172.0,513.0,1989.0,SingleFamily,08/03/2024,2024-02-28,1259900.0,49.2208622,-122.6998061,"188A Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
R2853986,1378000.0,5.0,2.0,"11685 193St, Pitt Meadows, BC, Canada",2920.0,4.0,5341.0,513.0,1973.0,SingleFamily,07/03/2024,2024-02-27,1499000.0,,,
