,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
612,"1901 - 11967 80 Ave, Delta, BC",2,2,821 sqft,,1,"$2,076",2017,R2818381,Residential,Yes,,$778,14/10/2023,"$625,000",21/09/2023,"$639,000",Apartment/Condominium
613,"6814 Sandpiper Pl, Delta, BC",4,2,2545 sqft,,6,"$5,769",1980,R2821732,Residential,Yes,,$706,14/10/2023,"$1,700,000",02/10/2023,"$1,799,000",Single Family Residence
614,"6833 Sussex Cres, Delta, BC",4,2,1976 sqft,,6,"$5,561",1975,R2822077,Residential,Yes,,$708,13/10/2023,"$1,455,000",05/10/2023,"$1,400,000",Single Family Residence
615,"8 - 11528 84a Ave, Delta, BC",3,3,2022 sqft,,2,"$3,467",2020,R2815752,Residential,Yes,,$543,13/10/2023,"$1,070,000",14/09/2023,"$1,099,800",Townhouse
616,"11842 95a Ave, Delta, BC",3,1,1580 sqft,,6,"$4,062",1970,R2818220,Residential,No,,$758,13/10/2023,"$1,150,000",20/09/2023,"$1,199,000",Single Family Residence
617,"1735 Enderby Ave, Delta, BC",3,2,1714 sqft,,3,"$4,630",1971,R2823765,Residential,No,,$699,12/10/2023,"$1,265,000",10/10/2023,"$1,199,000",Single Family Residence
618,"601 - 6960 Nicholson Rd, Delta, BC",2,2,790 sqft,,1,"$2,138",2022,R2817952,Residential,Yes,,$759,12/10/2023,"$622,000",18/09/2023,"$599,999",Apartment/Condominium
619,"124 - 5535 Admiral Way, Delta, BC",3,2,1365 sqft,,1,"$3,098",2021,R2813091,Residential,Yes,,$819,11/10/2023,"$1,080,000",06/09/2023,"$1,118,000",Apartment/Condominium
620,"75 - 5311 Admiral Way, Delta, BC",4,3,1945 sqft,,2,,2024,R2824196,Residential,Yes,,$785,11/10/2023,"$1,528,000",09/10/2023,"$1,528,000",Townhouse
621,"5239 Windjammer Rd, Delta, BC",4,2,3209 sqft,,4,"$5,647",2000,R2821915,Residential,Yes,,$621,11/10/2023,"$1,930,000",02/10/2023,"$1,995,000",Single Family Residence
622,"9122 Hardy Rd, Delta, BC",3,3,3588 sqft,,4,"$4,713",1987,R2817550,Residential,Yes,,$417,11/10/2023,"$1,391,200",19/09/2023,"$1,498,000",Single Family Residence
623,"11768 80 Ave, Delta, BC",5,2,2484 sqft,,4,"$4,757",1969,R2813007,Residential,Yes,,$683,11/10/2023,"$1,570,000",06/09/2023,"$1,699,000",Single Family Residence
624,"326A - 8635 120 St, Delta, BC",2,1,930 sqft,,1,"$1,102",1972,R2819402,Residential,No,,$494,11/10/2023,"$445,000",25/09/2023,"$459,900",Apartment/Condominium
625,"1601 Spyglass Cres, Delta, BC",3,3,2490 sqft,,4,"$4,582",1994,R2821373,Residential,Yes,,$589,11/10/2023,"$1,455,000",02/10/2023,"$1,469,000",Single Family Residence
626,"5060 Bentley Dr, Delta, BC",3,2,1836 sqft,,4,"$4,772",1992,R2821338,Residential,No,,$735,10/10/2023,"$1,450,000",01/10/2023,"$1,350,000",Single Family Residence
627,"7096 Barkley Dr, Delta, BC",4,1,2141 sqft,,4,"$4,462",1959,R2823815,Residential,No,,$648,10/10/2023,"$1,250,000",10/10/2023,"$1,388,888",Single Family Residence
628,"4983 Mariner Pl, Delta, BC",3,2,1777 sqft,,4,"$4,107",1985,R2805485,Residential,Yes,,$821,09/10/2023,"$1,347,000",07/08/2023,"$1,459,000",Single Family Residence
