,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
110,Single Family Residence,"$5,612",2918 sqft,Yes,$530,R2827560,,Residential,1990,,"12418 233a St, Maple Ridge, BC",4,6,3,24/10/2023,"$1,549,000",-,-
111,Apartment/Condominium,"$2,509",887 sqft,Yes,$562,R2602000,,Residential,2016,,"205 - 12070 227 St, Maple Ridge, BC",2,2,2,13/07/2021,"$499,000",20/07/2021,"$495,000"
112,Apartment/Condominium,"$2,051",767 sqft,Yes,$611,R2835889,,Residential,2007,,"428 - 12248 224 St, Maple Ridge, BC",1,1,1,01/12/2023,"$469,000",14/12/2023,"$465,000"
113,Single Family Residence,"$4,807",2119 sqft,Yes,$389,R2603721,,Residential,1999,,"11489 Dartford St, Maple Ridge, BC",3,4,3,17/07/2021,"$825,000",25/07/2021,"$972,000"
114,Single Family Residence,"$5,477",2400 sqft,Yes,$400,R2600142,,Residential,1989,,"21374 River Rd, Maple Ridge, BC",3,4,8,07/07/2021,"$961,800",25/07/2021,"$1,020,000"
115,Townhouse,"$2,911",1274 sqft,Yes,$588,R2600103,,Residential,2016,,"113 - 10151 240 St, Maple Ridge, BC",2,3,0,06/07/2021,"$750,000",24/07/2021,"$705,000"
116,Townhouse,"$3,527",1926 sqft,Yes,$454,R2595676,,Residential,2015,,"9 - 10550 248 St, Maple Ridge, BC",3,5,0,19/06/2021,"$875,000",25/07/2021,"$820,000"
117,Single Family Residence,"$2,252",3323 sqft,Yes,$375,R2603251,,Residential,2020,,"11002 240 St, Maple Ridge, BC",4,6,3,18/07/2021,"$1,249,000",25/07/2021,"$1,312,000"
118,Townhouse,"$3,624",1818 sqft,Yes,$412,R2604389,,Residential,2011,,"3 - 22865 Telosky Ave, Maple Ridge, BC",2,3,0,21/07/2021,"$749,900",25/07/2021,"$785,000"
119,Single Family Residence,"$4,336",2173 sqft,No,$367,R2602333,,Residential,2004,,"24382 102b Ave, Maple Ridge, BC",3,4,1,14/07/2021,"$799,000",25/07/2021,"$975,000"
120,Single Family Residence,"$4,793",2176 sqft,Yes,$528,R2605451,,Residential,1990,,"12259 233a St, Maple Ridge, BC",3,3,4,27/07/2021,"$1,150,000",29/07/2021,"$1,113,000"
121,Single Family Residence,"$3,960",1580 sqft,No,$490,R2595034,,Residential,1930,,"20366 Lorne Ave, Maple Ridge, BC",1,3,4,20/06/2021,"$775,000",28/07/2021,"$768,000"
122,Single Family Residence,"$8,051",5198 sqft,Yes,$457,R2583896,,Residential,2016,,"10880 Carmichael St, Maple Ridge, BC",6,7,9,19/05/2021,"$2,380,000",30/07/2021,"$2,235,000"
123,Single Family Residence,"$4,286",2252 sqft,No,$577,R2559009,,Residential,1953,,"22117 Selkirk Ave, Maple Ridge, BC",2,3,4,28/03/2021,"$1,299,999",30/07/2021,"$1,275,000"
