,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
140,Apartment/Condominium,"$2,318",895 sqft,Yes,$670,R2601029,,Residential,2007,,"108 - 2951 Silver Springs Blvd, Coquitlam, BC",2,2,2,11/07/2021,"$599,900",27/07/2021,"$600,000"
141,Apartment/Condominium,"$2,605",704 sqft,Yes,$837,R2604155,,Residential,2019,,"1409 691 North Rd, Coquitlam, BC",2,2,1,21/07/2021,"$589,900",27/07/2021,"$578,000"
142,Townhouse,"$2,534",1257 sqft,No,$555,R2603398,,Residential,1980,,"35 - 1140 Eagleridge Dr, Coquitlam, BC",1,3,1,19/07/2021,"$698,835",27/07/2021,"$730,000"
143,Single Family Residence,"$5,289",3043 sqft,Yes,$541,R2604711,,Residential,2013,,"1253 Soball St, Coquitlam, BC",3,6,3,25/07/2021,"$1,649,000",27/07/2021,"$1,649,000"
144,Single Family Residence,"$6,123",4443 sqft,Yes,$402,R2598451,,Residential,1992,,"2621 Marble Crt, Coquitlam, BC",3,5,4,04/07/2021,"$1,788,000",30/07/2021,"$1,767,000"
145,Single Family Residence,"$4,154",3261 sqft,Yes,$444,R2602445,,Residential,1985,,"430 Riverview Cres, Coquitlam, BC",3,6,4,15/07/2021,"$1,450,000",29/07/2021,"$1,438,000"
146,Apartment/Condominium,"$2,705",971 sqft,Yes,$668,R2588422,,Residential,2008,,"2605 - 1178 Heffley Cres, Coquitlam, BC",2,2,1,01/06/2021,"$649,000",29/07/2021,"$630,000"
147,Apartment/Condominium,"$2,043",654 sqft,Yes,$750,R2602734,,Residential,2007,,"1009 - 511 Rochester Ave, Coquitlam, BC",1,1,1,18/07/2021,"$490,800",29/07/2021,"$490,800"
148,Apartment/Condominium,"$2,632",926 sqft,Yes,$742,R2587379,,Residential,2012,,"209 - 1128 Kensal Pl, Coquitlam, BC",2,2,1,31/05/2021,"$688,000",29/07/2021,"$665,000"
149,Single Family Residence,"$4,466",2782 sqft,Yes,$534,R2600428,,Residential,1983,,"378 Balfour Dr, Coquitlam, BC",3,3,6,06/07/2021,"$1,488,000",30/07/2021,"$1,433,000"
150,Single Family Residence,"$4,929",2347 sqft,No,$638,R2576445,,Residential,1961,,"695 Accacia Ave, Coquitlam, BC",2,5,4,03/05/2021,"$1,499,000",30/07/2021,"$1,430,000"
151,Single Family Residence,"$6,621", sqft,No,,R2600781,,Residential,9999,,"Lot 1 1111 Regan Ave, Coquitlam, BC",0,0,0,11/07/2021,"$1,548,888",29/07/2021,"$1,530,000"
152,Single Family Residence,"$4,420",3412 sqft,Yes,$351,R2606935,,Residential,1992,,"1031 Buoy Dr, Coquitlam, BC",3,6,4,01/08/2021,"$1,199,900",02/08/2021,"$1,108,800"
153,Single Family Residence,"$3,633",1656 sqft,No,$664,R2604752,,Residential,1980,,"1228 River Dr, Coquitlam, BC",2,3,3,25/07/2021,"$1,100,000",02/08/2021,"$1,228,000"
154,Apartment/Condominium,"$2,211",560 sqft,Yes,$960,R2603207,,Residential,2020,,"308 - 603 Regan Ave, Coquitlam, BC",1,1,1,18/07/2021,"$538,000",01/08/2021,"$530,000"
155,Single Family Residence,"$3,681",1170 sqft,Yes,$982,R2605049,,Residential,1986,,"2715 Westlake Dr, Coquitlam, BC",1,3,4,26/07/2021,"$1,149,000",01/08/2021,"$1,150,000"
156,Single Family Residence,"$7,278",5502 sqft,Yes,$535,R2787941,,Residential,2016,,"257 Montgomery St, Coquitlam, BC",5,7,0,11/06/2023,"$2,948,000",-,-
157,Townhouse,"$3,328",2095 sqft,Yes,$476,R2604805,,Residential,1997,,"514 - 1485 Parkway Blvd, Coquitlam, BC",2,3,4,25/07/2021,"$998,000",02/08/2021,"$1,026,000"
158,Apartment/Condominium,"$1,540",375 sqft,Yes,$799,R2604370,,Residential,2008,,"508 - 575 Delestre Ave, Coquitlam, BC",1,0,1,21/07/2021,"$299,900",02/08/2021,"$350,000"
