,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
129,Single Family Residence,"$9,825",3428 sqft,Yes,"$1,152",R2905065,,Residential,1977,,"13838 Crescent Rd, Surrey, BC",3,4,2,07/07/2024,"$3,950,000"
130,Single Family Residence,"$4,776",4136 sqft,Yes,$531,R2902970,,Residential,2024,,"6302 181a St, Surrey, BC",6,7,4,07/07/2024,"$2,200,000"
131,Townhouse,"$3,396",1601 sqft,Yes,$560,R2902947,,Residential,2000,,"35 - 7250 144 St, Surrey, BC",2,3,3,07/07/2024,"$898,000"
132,Apartment/Condominium,,336 sqft,No,$889,R2903322,,Residential,2023,,"818 - 13350 Central Ave, Surrey, BC",1,0,0,07/07/2024,"$299,000"
133,Apartment/Condominium,"$1,871",995 sqft,Yes,$590,R2904164,,Residential,1985,,"105 - 9635 121 St, Surrey, BC",1,2,1,07/07/2024,"$588,000"
134,Single Family Residence,"$6,115",2240 sqft,Yes,$803,R2902833,,Residential,1978,,"15579 17 Ave, Surrey, BC",3,4,8,07/07/2024,"$1,799,000"
135,Townhouse,"$3,051",1390 sqft,Yes,$600,R2903146,,Residential,2015,,"66 - 19097 64 Ave, Surrey, BC",2,3,1,07/07/2024,"$835,000"
136,Townhouse,"$1,920",1388 sqft,No,$496,R2902428,,Residential,1987,,"201 - 10584 153 St, Surrey, BC",2,2,1,04/07/2024,"$689,000"
137,Townhouse,"$2,828",1156 sqft,No,$648,R2902397,,Residential,2004,,"39 - 15075 60 Ave, Surrey, BC",2,2,2,04/07/2024,"$749,888"
138,Single Family Residence,"$6,752",3615 sqft,Yes,$552,R2902182,,Residential,2020,,"14233 61 B Ave, Surrey, BC",4,6,5,04/07/2024,"$1,999,000"
139,Townhouse,"$4,044",2188 sqft,Yes,$571,R2902409,,Residential,2014,,"30 - 2687 158 St, Surrey, BC",2,4,4,04/07/2024,"$1,250,000"
140,Single Family Residence,"$4,075",1412 sqft,No,$938,R2902690,,Residential,1958,,"11261 Lansdowne Dr, Surrey, BC",2,4,4,04/07/2024,"$1,325,000"
141,Apartment/Condominium,"$1,912",996 sqft,Yes,$620,R2902541,,Residential,1991,,"110 - 7171 121 St, Surrey, BC",2,1,2,04/07/2024,"$618,350"
142,Townhouse,"$3,359",2236 sqft,Yes,$514,R2902482,,Residential,2008,,"50 - 2689 Parkway Dr, Surrey, BC",2,3,2,04/07/2024,"$1,150,000"
143,Townhouse,"$2,221",1130 sqft,No,$751,R2900729,,Residential,1978,,"71 - 8555 King George Blvd, Surrey, BC",1,3,2,04/07/2024,"$849,000"
144,Single Family Residence,"$5,646",2187 sqft,Yes,$594,R2902516,,Residential,2007,,"6961 144a St, Surrey, BC",3,5,2,04/07/2024,"$1,299,900"
145,Townhouse,"$2,678",1900 sqft,Yes,$367,R2902114,,Residential,1994,,"122 - 13888 70 Ave, Surrey, BC",2,2,4,03/07/2024,"$699,000"
146,Townhouse,"$3,291",1714 sqft,No,$524,R2902432,,Residential,2012,,"8 - 6383 140 St, Surrey, BC",3,4,2,04/07/2024,"$899,000"
147,Single Family Residence,"$7,297",3872 sqft,Yes,$490,R2901889,,Residential,2000,,"10892 164a St, Surrey, BC",3,6,4,03/07/2024,"$1,899,900"
148,Single Family Residence,"$4,162",1457 sqft,No,$686,R2902797,,Residential,1985,,"12447 77a Ave, Surrey, BC",2,3,2,04/07/2024,"$999,879"
149,Single Family Residence,"$4,244",2124 sqft,Yes,$682,R2901679,,Residential,1959,,"11308 Royal Cres, Surrey, BC",2,5,8,03/07/2024,"$1,450,000"
150,Single Family Residence,"$6,407",3091 sqft,Yes,$323,R2902134,,Residential,1997,,"6681 123 St, Surrey, BC",4,6,8,04/07/2024,"$999,000"
151,Townhouse,,1896 sqft,Yes,$632,R2902144,,Residential,2024,,"30 - 17538 100 Ave, Surrey, BC",3,4,0,03/07/2024,"$1,199,999"
152,Single Family Residence,"$4,216",2240 sqft,Yes,$579,R2902025,,Residential,1986,,"8062 138 St, Surrey, BC",2,4,2,03/07/2024,"$1,299,000"
153,Single Family Residence,"$4,193",1180 sqft,No,"$1,050",R2902020,,Residential,1958,,"11565 96a Ave, Surrey, BC",2,4,3,03/07/2024,"$1,239,900"
154,Townhouse,"$3,159",1613 sqft,Yes,$542,R2901929,,Residential,2005,,"15 - 8717 159 St, Surrey, BC",2,4,2,03/07/2024,"$875,000"
155,Townhouse,"$3,790",2210 sqft,Yes,$560,R2902681,,Residential,2009,,"47 - 2738 158 St, Surrey, BC",3,4,2,03/07/2024,"$1,238,000"
156,Apartment/Condominium,"$1,881",651 sqft,Yes,$669,R2901938,,Residential,2007,,"310 - 10455 University Dr, Surrey, BC",1,1,1,03/07/2024,"$435,900"
157,Townhouse,"$2,830",1286 sqft,Yes,$622,R2901974,,Residential,1986,,"102 - 15541 87a Ave, Surrey, BC",2,2,2,03/07/2024,"$799,900"
158,Apartment/Condominium,,864 sqft,Yes,$827,R2902789,,Residential,2024,,"W211 - 10828 139a St, Surrey, BC",2,2,1,03/07/2024,"$714,890"
159,Single Family Residence,"$4,471",6700 sqft,Yes,$485,R2901604,,Residential,2024,,"13830 78a Ave, Surrey, BC",9,10,10,03/07/2024,"$3,250,000"
160,Single Family Residence,"$5,420",1810 sqft,Yes,$872,R2901901,,Residential,1989,,"6833 142 A St, Surrey, BC",2,3,6,03/07/2024,"$1,579,000"
161,Apartment/Condominium,"$2,246",853 sqft,Yes,$767,R2902492,,Residential,2018,,"102 - 2960 151 St, Surrey, BC",2,2,1,03/07/2024,"$655,000"
